LapNumber,TyreLife,FreshTyre,Position,Stint,race_round,SpeedFL,LapTime_seconds,has_safety_car,has_vsc,has_yellow,Compound_encoded,Driver_encoded,RaceName_encoded
15.0,1.0,False,2.0,2.0,1,279.0,118.378,0,0,0,1,20,4
37.0,1.0,True,1.0,3.0,1,281.0,118.49,0,0,0,3,20,4
10.0,1.0,True,20.0,2.0,1,278.0,121.262,0,0,0,3,4,4
26.0,1.0,True,17.0,3.0,1,280.0,119.404,0,0,0,3,4,4
41.0,1.0,True,10.0,4.0,1,289.0,128.544,0,1,0,1,4,4
18.0,3.0,False,3.0,2.0,1,280.0,118.797,0,0,0,1,12,4
35.0,1.0,True,2.0,3.0,1,281.0,118.785,0,0,0,3,12,4
15.0,1.0,True,8.0,2.0,1,280.0,119.692,0,0,0,3,1,4
35.0,1.0,True,6.0,3.0,1,283.0,117.389,0,0,0,3,1,4
14.0,1.0,True,5.0,2.0,1,282.0,118.77,0,0,0,3,8,4
34.0,1.0,True,4.0,3.0,1,281.0,119.477,0,0,0,3,8,4
16.0,1.0,True,9.0,2.0,1,279.0,119.876,0,0,0,3,18,4
31.0,1.0,True,8.0,3.0,1,283.0,117.063,0,0,0,3,18,4
13.0,1.0,True,15.0,2.0,1,284.0,120.255,0,0,0,1,17,4
31.0,1.0,True,14.0,3.0,1,283.0,119.303,0,0,0,3,17,4
41.0,1.0,True,14.0,4.0,1,284.0,125.614,0,1,0,1,17,4
16.0,1.0,True,18.0,2.0,1,279.0,120.587,0,0,0,3,9,4
30.0,1.0,True,17.0,3.0,1,281.0,120.933,0,0,0,1,9,4
41.0,1.0,True,15.0,4.0,1,282.0,122.547,0,1,0,1,9,4
12.0,1.0,True,19.0,2.0,1,280.0,121.184,0,0,0,3,3,4
28.0,1.0,True,16.0,3.0,1,278.0,120.083,0,0,0,3,3,4
11.0,1.0,True,18.0,2.0,1,279.0,119.843,0,0,0,3,19,4
27.0,1.0,True,16.0,3.0,1,289.0,120.3,0,0,0,3,19,4
41.0,4.0,False,13.0,4.0,1,290.0,130.782,0,1,0,1,19,4
12.0,1.0,True,15.0,2.0,1,285.0,119.445,0,0,0,1,0,4
27.0,1.0,True,14.0,3.0,1,286.0,119.87,0,0,0,3,0,4
41.0,1.0,False,9.0,4.0,1,286.0,128.659,0,1,0,1,0,4
13.0,1.0,True,20.0,2.0,1,293.0,122.101,0,0,0,3,21,4
33.0,4.0,False,15.0,3.0,1,280.0,119.659,0,0,0,1,21,4
55.0,4.0,False,16.0,4.0,1,281.0,127.673,0,0,0,1,21,4
12.0,1.0,True,20.0,2.0,1,288.0,122.579,0,0,0,3,6,4
27.0,1.0,True,19.0,3.0,1,281.0,132.037,0,0,0,3,6,4
41.0,4.0,False,16.0,4.0,1,282.0,125.275,0,1,0,1,6,4
13.0,1.0,True,12.0,2.0,1,287.0,120.381,0,0,0,3,11,4
16.0,4.0,False,19.0,3.0,1,278.0,135.708,0,0,0,3,11,4
33.0,1.0,True,19.0,4.0,1,281.0,138.694,0,0,0,3,11,4
11.0,1.0,True,20.0,2.0,1,278.0,129.886,0,0,0,3,10,4
18.0,4.0,False,19.0,3.0,1,278.0,128.607,0,0,0,1,10,4
28.0,1.0,True,19.0,4.0,1,279.0,127.663,0,0,0,2,10,4
38.0,1.0,True,19.0,5.0,1,282.0,128.682,0,0,0,3,10,4
48.0,5.0,False,17.0,6.0,1,281.0,126.905,0,0,0,1,10,4
55.0,7.0,False,17.0,7.0,1,280.0,124.847,0,0,0,1,10,4
13.0,1.0,True,8.0,2.0,1,282.0,119.179,0,0,0,3,5,4
31.0,1.0,True,7.0,3.0,1,283.0,119.503,0,0,0,3,5,4
14.0,1.0,True,6.0,2.0,1,280.0,119.006,0,0,0,3,16,4
32.0,1.0,True,5.0,3.0,1,281.0,118.492,0,0,0,3,16,4
14.0,1.0,True,10.0,2.0,1,288.0,121.269,0,0,0,3,15,4
32.0,1.0,True,8.0,3.0,1,286.0,118.694,0,0,0,3,15,4
12.0,1.0,True,14.0,2.0,1,278.0,119.45,0,0,0,3,2,4
30.0,1.0,True,11.0,3.0,1,278.0,118.886,0,0,0,3,2,4
15.0,1.0,True,14.0,2.0,2,289.0,113.128,0,0,0,3,4,17
17.0,1.0,True,8.0,2.0,2,259.0,119.434,1,0,1,3,8,17
14.0,2.0,False,11.0,2.0,2,287.0,114.305,0,0,0,3,18,17
19.0,1.0,True,15.0,2.0,2,218.0,142.638,1,0,0,2,17,17
9.0,1.0,True,18.0,2.0,2,292.0,112.964,0,0,0,3,9,17
18.0,1.0,True,16.0,2.0,2,223.0,149.507,1,0,0,3,3,17
18.0,1.0,True,8.0,2.0,2,246.0,149.289,1,0,0,3,19,17
12.0,1.0,True,17.0,2.0,2,308.0,115.874,0,0,0,3,21,17
19.0,1.0,True,17.0,3.0,2,218.0,135.298,1,0,0,2,21,17
12.0,1.0,True,16.0,2.0,2,296.0,113.453,0,0,0,3,6,17
17.0,1.0,True,12.0,2.0,2,215.0,125.968,1,0,1,3,11,17
3.0,1.0,True,20.0,2.0,2,274.0,123.534,0,0,0,3,10,17
20.0,1.0,True,19.0,3.0,2,279.0,138.348,1,0,0,2,10,17
16.0,1.0,True,9.0,2.0,2,294.0,113.399,0,0,0,3,16,17
10.0,1.0,True,19.0,2.0,2,289.0,114.489,0,0,0,3,2,17
36.0,1.0,True,18.0,4.0,2,289.0,114.109,0,0,0,1,2,17
2.0,1.0,True,20.0,2.0,2,283.0,124.805,0,0,0,3,13,17
3.0,1.0,True,18.0,3.0,3,291.0,110.649,1,0,0,3,12,1
3.0,2.0,False,19.0,3.0,3,289.0,110.807,1,0,0,3,17,1
37.0,8.0,False,17.0,5.0,3,290.0,89.657,0,0,0,3,17,1
46.0,1.0,True,17.0,3.0,3,288.0,88.53,0,0,0,1,3,1
2.0,1.0,True,16.0,2.0,3,239.0,119.863,1,0,0,3,21,1
2.0,1.0,True,15.0,2.0,3,247.0,126.286,1,0,0,3,11,1
2.0,1.0,True,17.0,2.0,3,253.0,114.147,1,0,0,3,2,1
6.0,1.0,True,20.0,2.0,4,312.0,124.865,0,0,0,3,4,3
24.0,1.0,True,19.0,3.0,4,313.0,124.713,0,0,0,3,4,3
9.0,1.0,True,19.0,2.0,4,318.0,125.742,0,0,0,3,17,3
9.0,1.0,False,15.0,2.0,4,315.0,125.578,0,0,0,3,19,3
8.0,1.0,True,18.0,2.0,4,324.0,126.167,0,0,0,3,0,3
1.0,1.0,True,20.0,1.0,4,337.0,122.623,0,0,1,3,6,3
50.0,1.0,True,17.0,2.0,4,310.0,126.546,0,0,0,1,6,3
1.0,1.0,True,19.0,1.0,4,327.0,122.501,0,0,1,3,11,3
51.0,1.0,True,15.0,2.0,4,312.0,121.249,0,0,0,1,11,3
10.0,1.0,True,13.0,2.0,4,236.0,135.72,1,0,1,3,10,3
10.0,1.0,True,11.0,2.0,4,47.0,131.469,1,0,1,3,5,3
50.0,1.0,True,8.0,3.0,4,317.0,124.793,0,0,0,1,15,3
7.0,1.0,True,20.0,2.0,4,313.0,124.955,0,0,0,3,2,3
13.0,1.0,True,19.0,3.0,4,282.0,140.098,1,0,0,3,2,3
35.0,1.0,True,19.0,4.0,4,309.0,124.784,0,0,0,2,2,3
9.0,1.0,True,16.0,2.0,4,318.0,125.475,0,0,0,3,13,3
46.0,1.0,True,2.0,2.0,5,282.0,106.123,0,0,0,2,20,14
21.0,1.0,True,4.0,2.0,5,275.0,106.826,0,0,0,3,12,14
25.0,2.0,False,5.0,2.0,5,277.0,107.051,0,0,0,3,1,14
18.0,1.0,True,12.0,2.0,5,273.0,107.89,0,0,0,3,15,14
19.0,1.0,True,7.0,2.0,5,280.0,106.534,0,0,0,3,16,14
38.0,1.0,True,12.0,2.0,5,276.0,105.089,0,0,0,2,5,14
18.0,1.0,True,15.0,2.0,5,272.0,108.229,0,0,0,3,8,14
16.0,1.0,True,14.0,2.0,5,266.0,108.049,0,0,0,3,4,14
40.0,1.0,True,11.0,2.0,5,278.0,105.73,0,0,0,2,11,14
15.0,1.0,True,16.0,2.0,5,272.0,107.363,0,0,0,3,9,14
37.0,1.0,True,14.0,2.0,5,274.0,106.515,0,0,0,2,19,14
43.0,2.0,False,15.0,2.0,5,276.0,106.469,0,0,0,2,18,14
16.0,1.0,True,16.0,2.0,5,271.0,108.475,0,0,0,3,2,14
23.0,1.0,True,17.0,2.0,5,275.0,107.79,0,0,0,3,0,14
34.0,1.0,True,16.0,2.0,5,276.0,107.942,0,0,0,2,6,14
32.0,1.0,True,17.0,2.0,5,271.0,107.897,0,0,0,2,21,14
5.0,1.0,True,19.0,2.0,5,270.0,110.478,0,0,0,3,10,14
16.0,1.0,True,19.0,2.0,5,271.0,110.131,0,0,0,3,3,14
6.0,1.0,True,18.0,2.0,5,270.0,108.019,0,0,0,3,13,14
3.0,1.0,True,20.0,2.0,5,268.0,135.625,0,0,0,3,17,14
56.0,1.0,True,1.0,2.0,6,247.0,106.131,0,0,1,4,20,15
