LapNumber,TyreLife,FreshTyre,Position,Stint,SpeedFL,Year,LapTime_seconds,has_safety_car,has_vsc,has_red_flag,has_yellow,Compound_encoded,Driver_encoded,RaceName_encoded
15.0,1.0,False,2.0,2.0,279.0,2023,118.378,0,0,0,0,1,30,5
37.0,1.0,True,1.0,3.0,281.0,2023,118.49,0,0,0,0,3,30,5
10.0,1.0,True,20.0,2.0,278.0,2023,121.262,0,0,0,0,3,6,5
26.0,1.0,True,17.0,3.0,280.0,2023,119.404,0,0,0,0,3,6,5
41.0,1.0,True,10.0,4.0,289.0,2023,128.544,0,1,0,0,1,6,5
18.0,3.0,False,3.0,2.0,280.0,2023,118.797,0,0,0,0,1,21,5
35.0,1.0,True,2.0,3.0,281.0,2023,118.785,0,0,0,0,3,21,5
15.0,1.0,True,8.0,2.0,280.0,2023,119.692,0,0,0,0,3,2,5
35.0,1.0,True,6.0,3.0,283.0,2023,117.389,0,0,0,0,3,2,5
14.0,1.0,True,5.0,2.0,282.0,2023,118.77,0,0,0,0,3,15,5
34.0,1.0,True,4.0,3.0,281.0,2023,119.477,0,0,0,0,3,15,5
16.0,1.0,True,9.0,2.0,279.0,2023,119.876,0,0,0,0,3,28,5
31.0,1.0,True,8.0,3.0,283.0,2023,117.063,0,0,0,0,3,28,5
13.0,1.0,True,15.0,2.0,284.0,2023,120.255,0,0,0,0,1,27,5
31.0,1.0,True,14.0,3.0,283.0,2023,119.303,0,0,0,0,3,27,5
41.0,1.0,True,14.0,4.0,284.0,2023,125.614,0,1,0,0,1,27,5
16.0,1.0,True,18.0,2.0,279.0,2023,120.587,0,0,0,0,3,16,5
30.0,1.0,True,17.0,3.0,281.0,2023,120.933,0,0,0,0,1,16,5
41.0,1.0,True,15.0,4.0,282.0,2023,122.547,0,1,0,0,1,16,5
12.0,1.0,True,19.0,2.0,280.0,2023,121.184,0,0,0,0,3,4,5
28.0,1.0,True,16.0,3.0,278.0,2023,120.083,0,0,0,0,3,4,5
11.0,1.0,True,18.0,2.0,279.0,2023,119.843,0,0,0,0,3,29,5
27.0,1.0,True,16.0,3.0,289.0,2023,120.3,0,0,0,0,3,29,5
41.0,4.0,False,13.0,4.0,290.0,2023,130.782,0,1,0,0,1,29,5
12.0,1.0,True,15.0,2.0,285.0,2023,119.445,0,0,0,0,1,1,5
27.0,1.0,True,14.0,3.0,286.0,2023,119.87,0,0,0,0,3,1,5
41.0,1.0,False,9.0,4.0,286.0,2023,128.659,0,1,0,0,1,1,5
13.0,1.0,True,20.0,2.0,293.0,2023,122.101,0,0,0,0,3,32,5
33.0,4.0,False,15.0,3.0,280.0,2023,119.659,0,0,0,0,1,32,5
55.0,4.0,False,16.0,4.0,281.0,2023,127.673,0,0,0,0,1,32,5
12.0,1.0,True,20.0,2.0,288.0,2023,122.579,0,0,0,0,3,10,5
27.0,1.0,True,19.0,3.0,281.0,2023,132.037,0,0,0,0,3,10,5
41.0,4.0,False,16.0,4.0,282.0,2023,125.275,0,1,0,0,1,10,5
13.0,1.0,True,12.0,2.0,287.0,2023,120.381,0,0,0,0,3,20,5
16.0,4.0,False,19.0,3.0,278.0,2023,135.708,0,0,0,0,3,20,5
33.0,1.0,True,19.0,4.0,281.0,2023,138.694,0,0,0,0,3,20,5
11.0,1.0,True,20.0,2.0,278.0,2023,129.886,0,0,0,0,3,19,5
18.0,4.0,False,19.0,3.0,278.0,2023,128.607,0,0,0,0,1,19,5
28.0,1.0,True,19.0,4.0,279.0,2023,127.663,0,0,0,0,2,19,5
38.0,1.0,True,19.0,5.0,282.0,2023,128.682,0,0,0,0,3,19,5
48.0,5.0,False,17.0,6.0,281.0,2023,126.905,0,0,0,0,1,19,5
55.0,7.0,False,17.0,7.0,280.0,2023,124.847,0,0,0,0,1,19,5
13.0,1.0,True,8.0,2.0,282.0,2023,119.179,0,0,0,0,3,9,5
31.0,1.0,True,7.0,3.0,283.0,2023,119.503,0,0,0,0,3,9,5
14.0,1.0,True,6.0,2.0,280.0,2023,119.006,0,0,0,0,3,26,5
32.0,1.0,True,5.0,3.0,281.0,2023,118.492,0,0,0,0,3,26,5
14.0,1.0,True,10.0,2.0,288.0,2023,121.269,0,0,0,0,3,25,5
32.0,1.0,True,8.0,3.0,286.0,2023,118.694,0,0,0,0,3,25,5
12.0,1.0,True,14.0,2.0,278.0,2023,119.45,0,0,0,0,3,3,5
30.0,1.0,True,11.0,3.0,278.0,2023,118.886,0,0,0,0,3,3,5
15.0,1.0,True,14.0,2.0,289.0,2023,113.128,0,0,0,0,3,6,25
17.0,1.0,True,8.0,2.0,259.0,2023,119.434,1,0,0,1,3,15,25
14.0,2.0,False,11.0,2.0,287.0,2023,114.305,0,0,0,0,3,28,25
19.0,1.0,True,15.0,2.0,218.0,2023,142.638,1,0,0,0,2,27,25
9.0,1.0,True,18.0,2.0,292.0,2023,112.964,0,0,0,0,3,16,25
