Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race_round,RaceName
0 days 01:27:33.930000,VER,1,0 days 00:01:58.378000,15.0,2.0,0 days 01:25:58.127000,,0 days 00:00:51.854000,0 days 00:00:42.629000,0 days 00:00:23.895000,0 days 01:26:27.465000,0 days 01:27:10.094000,0 days 01:27:33.989000,230.0,237.0,279.0,218.0,False,SOFT,1.0,False,Red Bull Racing,0 days 01:25:35.552000,2023-03-05 15:26:37.401,1,2.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:03:45.820000,VER,1,0 days 00:01:58.490000,37.0,3.0,0 days 02:02:10.556000,,0 days 00:00:52.755000,0 days 00:00:42.071000,0 days 00:00:23.664000,0 days 02:02:40.144000,0 days 02:03:22.215000,0 days 02:03:45.879000,232.0,244.0,281.0,215.0,False,HARD,1.0,True,Red Bull Racing,0 days 02:01:47.330000,2023-03-05 16:02:49.179,1,1.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:19:58.205000,GAS,10,0 days 00:02:01.262000,10.0,2.0,0 days 01:18:21.104000,,0 days 00:00:54.574000,0 days 00:00:42.660000,0 days 00:00:24.028000,0 days 01:18:51.526000,0 days 01:19:34.186000,0 days 01:19:58.214000,227.0,245.0,278.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:17:56.943000,2023-03-05 15:18:58.792,1,20.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:46:47.684000,GAS,10,0 days 00:01:59.404000,26.0,3.0,0 days 01:45:11.481000,,0 days 00:00:53.105000,0 days 00:00:42.400000,0 days 00:00:23.899000,0 days 01:45:41.394000,0 days 01:46:23.794000,0 days 01:46:47.693000,228.0,250.0,280.0,215.0,False,HARD,1.0,True,Alpine,0 days 01:44:48.280000,2023-03-05 15:45:50.129,1,17.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:12:01.223000,GAS,10,0 days 00:02:08.544000,41.0,4.0,0 days 02:10:15.719000,,0 days 00:01:00.744000,0 days 00:00:44.327000,0 days 00:00:23.473000,0 days 02:10:53.432000,0 days 02:11:37.759000,0 days 02:12:01.232000,169.0,255.0,289.0,208.0,False,SOFT,1.0,True,Alpine,0 days 02:09:52.679000,2023-03-05 16:10:54.528,671,10.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:32:41.549000,PER,11,0 days 00:01:58.797000,18.0,2.0,0 days 01:31:05.324000,,0 days 00:00:51.905000,0 days 00:00:42.936000,0 days 00:00:23.956000,0 days 01:31:34.682000,0 days 01:32:17.618000,0 days 01:32:41.574000,232.0,241.0,280.0,218.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:30:42.752000,2023-03-05 15:31:44.601,1,3.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:00:44.305000,PER,11,0 days 00:01:58.785000,35.0,3.0,0 days 01:59:08.856000,,0 days 00:00:52.704000,0 days 00:00:42.423000,0 days 00:00:23.658000,0 days 01:59:38.249000,0 days 02:00:20.672000,0 days 02:00:44.330000,234.0,250.0,281.0,218.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:58:45.520000,2023-03-05 15:59:47.369,1,2.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:28:02.759000,ALO,14,0 days 00:01:59.692000,15.0,2.0,0 days 01:26:27.142000,,0 days 00:00:53.186000,0 days 00:00:42.622000,0 days 00:00:23.884000,0 days 01:26:56.314000,0 days 01:27:38.936000,0 days 01:28:02.820000,228.0,250.0,280.0,220.0,False,HARD,1.0,True,Aston Martin,0 days 01:26:03.067000,2023-03-05 15:27:04.916,1,8.0,False,,False,False,1,Bahrain Grand Prix
0 days 02:01:06.916000,ALO,14,0 days 00:01:57.389000,35.0,3.0,0 days 01:59:32.653000,,0 days 00:00:52.333000,0 days 00:00:41.520000,0 days 00:00:23.536000,0 days 02:00:01.921000,0 days 02:00:43.441000,0 days 02:01:06.977000,233.0,256.0,283.0,217.0,False,HARD,1.0,True,Aston Martin,0 days 01:59:09.527000,2023-03-05 16:00:11.376,1,6.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:26:05.327000,LEC,16,0 days 00:01:58.770000,14.0,2.0,0 days 01:24:29.253000,,0 days 00:00:52.070000,0 days 00:00:42.739000,0 days 00:00:23.961000,0 days 01:24:58.676000,0 days 01:25:41.415000,0 days 01:26:05.376000,230.0,243.0,282.0,219.0,False,HARD,1.0,True,Ferrari,0 days 01:24:06.557000,2023-03-05 15:25:08.406,1,5.0,False,,False,False,1,Bahrain Grand Prix
0 days 01:59:15.988000,LEC,16,0 days 00:01:59.477000,34.0,3.0,0 days 01:57:39.468000,,0 days 00:00:52.321000,0 days 00:00:43.143000,0 days 00:00:24.013000,0 days 01:58:08.881000,0 days 01:58:52.024000,0 days 01:59:16.037000,228.0,234.0,281.0,222.0,False,HARD,1.0,True,Ferrari,0 days 01:57:16.511000,2023-03-05 15:58:18.360,1,4.0,False,,False,False,1,Bahrain Grand Prix
