Sector2Time,FastF1Generated,Sector2SessionTime,LapStartTime,Time,TrackStatus,Team,DeletedReason,Sector1SessionTime,SpeedST,LapStartDate,RaceName,PitInTime,SpeedFL,IsPersonalBest,PitOutTime,FreshTyre,Position,DriverNumber,Deleted,Year,SpeedI2,Compound,Stint,Driver,TyreLife,IsAccurate,LapTime,LapNumber,Sector3Time,Sector1Time,SpeedI1,Sector3SessionTime
0 days 00:00:42.629000,False,0 days 01:27:10.094000,0 days 01:25:35.552000,0 days 01:27:33.930000,1,Red Bull Racing,,0 days 01:26:27.465000,218.0,2023-03-05 15:26:37.401,Bahrain Grand Prix,,279.0,False,0 days 01:25:58.127000,False,2.0,1,False,2023,237.0,SOFT,2.0,VER,1.0,False,0 days 00:01:58.378000,15.0,0 days 00:00:23.895000,0 days 00:00:51.854000,230.0,0 days 01:27:33.989000
0 days 00:00:42.071000,False,0 days 02:03:22.215000,0 days 02:01:47.330000,0 days 02:03:45.820000,1,Red Bull Racing,,0 days 02:02:40.144000,215.0,2023-03-05 16:02:49.179,Bahrain Grand Prix,,281.0,False,0 days 02:02:10.556000,True,1.0,1,False,2023,244.0,HARD,3.0,VER,1.0,False,0 days 00:01:58.490000,37.0,0 days 00:00:23.664000,0 days 00:00:52.755000,232.0,0 days 02:03:45.879000
0 days 00:00:42.660000,False,0 days 01:19:34.186000,0 days 01:17:56.943000,0 days 01:19:58.205000,1,Alpine,,0 days 01:18:51.526000,215.0,2023-03-05 15:18:58.792,Bahrain Grand Prix,,278.0,False,0 days 01:18:21.104000,True,20.0,10,False,2023,245.0,HARD,2.0,GAS,1.0,False,0 days 00:02:01.262000,10.0,0 days 00:00:24.028000,0 days 00:00:54.574000,227.0,0 days 01:19:58.214000
0 days 00:00:42.400000,False,0 days 01:46:23.794000,0 days 01:44:48.280000,0 days 01:46:47.684000,1,Alpine,,0 days 01:45:41.394000,215.0,2023-03-05 15:45:50.129,Bahrain Grand Prix,,280.0,False,0 days 01:45:11.481000,True,17.0,10,False,2023,250.0,HARD,3.0,GAS,1.0,False,0 days 00:01:59.404000,26.0,0 days 00:00:23.899000,0 days 00:00:53.105000,228.0,0 days 01:46:47.693000
0 days 00:00:44.327000,False,0 days 02:11:37.759000,0 days 02:09:52.679000,0 days 02:12:01.223000,671,Alpine,,0 days 02:10:53.432000,208.0,2023-03-05 16:10:54.528,Bahrain Grand Prix,,289.0,False,0 days 02:10:15.719000,True,10.0,10,False,2023,255.0,SOFT,4.0,GAS,1.0,False,0 days 00:02:08.544000,41.0,0 days 00:00:23.473000,0 days 00:01:00.744000,169.0,0 days 02:12:01.232000
0 days 00:00:42.936000,False,0 days 01:32:17.618000,0 days 01:30:42.752000,0 days 01:32:41.549000,1,Red Bull Racing,,0 days 01:31:34.682000,218.0,2023-03-05 15:31:44.601,Bahrain Grand Prix,,280.0,False,0 days 01:31:05.324000,False,3.0,11,False,2023,241.0,SOFT,2.0,PER,3.0,False,0 days 00:01:58.797000,18.0,0 days 00:00:23.956000,0 days 00:00:51.905000,232.0,0 days 01:32:41.574000
0 days 00:00:42.423000,False,0 days 02:00:20.672000,0 days 01:58:45.520000,0 days 02:00:44.305000,1,Red Bull Racing,,0 days 01:59:38.249000,218.0,2023-03-05 15:59:47.369,Bahrain Grand Prix,,281.0,False,0 days 01:59:08.856000,True,2.0,11,False,2023,250.0,HARD,3.0,PER,1.0,False,0 days 00:01:58.785000,35.0,0 days 00:00:23.658000,0 days 00:00:52.704000,234.0,0 days 02:00:44.330000
0 days 00:00:42.622000,False,0 days 01:27:38.936000,0 days 01:26:03.067000,0 days 01:28:02.759000,1,Aston Martin,,0 days 01:26:56.314000,220.0,2023-03-05 15:27:04.916,Bahrain Grand Prix,,280.0,False,0 days 01:26:27.142000,True,8.0,14,False,2023,250.0,HARD,2.0,ALO,1.0,False,0 days 00:01:59.692000,15.0,0 days 00:00:23.884000,0 days 00:00:53.186000,228.0,0 days 01:28:02.820000
0 days 00:00:41.520000,False,0 days 02:00:43.441000,0 days 01:59:09.527000,0 days 02:01:06.916000,1,Aston Martin,,0 days 02:00:01.921000,217.0,2023-03-05 16:00:11.376,Bahrain Grand Prix,,283.0,False,0 days 01:59:32.653000,True,6.0,14,False,2023,256.0,HARD,3.0,ALO,1.0,False,0 days 00:01:57.389000,35.0,0 days 00:00:23.536000,0 days 00:00:52.333000,233.0,0 days 02:01:06.977000
0 days 00:00:42.739000,False,0 days 01:25:41.415000,0 days 01:24:06.557000,0 days 01:26:05.327000,1,Ferrari,,0 days 01:24:58.676000,219.0,2023-03-05 15:25:08.406,Bahrain Grand Prix,,282.0,False,0 days 01:24:29.253000,True,5.0,16,False,2023,243.0,HARD,2.0,LEC,1.0,False,0 days 00:01:58.770000,14.0,0 days 00:00:23.961000,0 days 00:00:52.070000,230.0,0 days 01:26:05.376000
