Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RaceRound,RaceName
0 days 01:05:56.245000,GAS,10,0 days 00:01:49.983000,22.0,2.0,0 days 01:04:25.450000,,0 days 00:00:42.543000,0 days 00:00:38.526000,0 days 00:00:28.914000,0 days 01:04:48.754000,0 days 01:05:27.280000,0 days 01:05:56.194000,186.0,114.0,251.0,268.0,False,HARD,1.0,True,AlphaTauri,0 days 01:04:06.262000,2020-07-05 13:44:06.485,4,11.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:07.050000,GAS,10,0 days 00:01:55.197000,52.0,3.0,0 days 01:44:27.194000,,0 days 00:00:34.875000,0 days 00:00:44.743000,0 days 00:00:35.579000,0 days 01:44:46.677000,0 days 01:45:31.420000,0 days 01:46:06.999000,276.0,205.0,123.0,134.0,False,HARD,31.0,False,AlphaTauri,0 days 01:44:11.853000,2020-07-05 14:24:12.076,4,8.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:27.749000,PER,11,0 days 00:01:49.475000,22.0,2.0,0 days 01:03:57.359000,,0 days 00:00:39.896000,0 days 00:00:41.186000,0 days 00:00:28.393000,0 days 01:04:18.181000,0 days 01:04:59.367000,0 days 01:05:27.760000,158.0,205.0,259.0,193.0,False,MEDIUM,1.0,True,Racing Point,0 days 01:03:38.274000,2020-07-05 13:43:38.497,4,7.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:02.084000,PER,11,0 days 00:01:56.971000,52.0,3.0,0 days 01:44:18.729000,,0 days 00:00:35.435000,0 days 00:00:45.214000,0 days 00:00:36.322000,0 days 01:44:40.559000,0 days 01:45:25.773000,0 days 01:46:02.095000,250.0,103.0,145.0,141.0,False,MEDIUM,31.0,False,Racing Point,0 days 01:44:05.113000,2020-07-05 14:24:05.336,4,4.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:32.435000,LEC,16,0 days 00:01:50.117000,22.0,2.0,0 days 01:04:01.812000,,0 days 00:00:40.826000,0 days 00:00:40.498000,0 days 00:00:28.793000,0 days 01:04:23.135000,0 days 01:05:03.633000,0 days 01:05:32.426000,151.0,200.0,243.0,183.0,False,HARD,1.0,True,Ferrari,0 days 01:03:42.318000,2020-07-05 13:43:42.541,4,8.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:37:15.257000,LEC,16,0 days 00:01:47.833000,47.0,3.0,0 days 01:35:46.149000,,0 days 00:00:39.016000,0 days 00:00:40.461000,0 days 00:00:28.356000,0 days 01:36:06.431000,0 days 01:36:46.892000,0 days 01:37:15.248000,150.0,189.0,251.0,152.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:35:27.424000,2020-07-05 14:15:27.647,4,8.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:05.589000,LEC,16,0 days 00:01:55.821000,52.0,4.0,0 days 01:44:24.141000,,0 days 00:00:34.606000,0 days 00:00:46.223000,0 days 00:00:34.992000,0 days 01:44:44.365000,0 days 01:45:30.588000,0 days 01:46:05.580000,259.0,199.0,126.0,146.0,False,MEDIUM,6.0,False,Ferrari,0 days 01:44:09.768000,2020-07-05 14:24:09.991,4,7.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:20.312000,ALB,23,0 days 00:01:50.964000,22.0,2.0,0 days 01:03:47.455000,,0 days 00:00:38.969000,0 days 00:00:41.506000,0 days 00:00:30.489000,0 days 01:04:08.282000,0 days 01:04:49.788000,0 days 01:05:20.277000,237.0,163.0,219.0,274.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:03:29.348000,2020-07-05 13:43:29.571,4,5.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:37:02.344000,ALB,23,0 days 00:01:49.417000,47.0,3.0,0 days 01:35:31.605000,,0 days 00:00:38.170000,0 days 00:00:41.159000,0 days 00:00:30.088000,0 days 01:35:51.062000,0 days 01:36:32.221000,0 days 01:37:02.309000,265.0,199.0,256.0,190.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:35:12.927000,2020-07-05 14:15:13.150,4,5.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:03.159000,ALB,23,0 days 00:01:56.349000,52.0,4.0,0 days 01:44:20.337000,,0 days 00:00:34.907000,0 days 00:00:45.103000,0 days 00:00:36.339000,0 days 01:44:41.682000,0 days 01:45:26.785000,0 days 01:46:03.124000,243.0,114.0,139.0,151.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:44:06.810000,2020-07-05 14:24:07.033,4,5.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:59.867000,KVY,26,0 days 00:01:44.170000,22.0,2.0,0 days 01:04:35.200000,,0 days 00:00:38.178000,0 days 00:00:38.137000,0 days 00:00:27.855000,0 days 01:04:53.836000,0 days 01:05:31.973000,0 days 01:05:59.828000,227.0,107.0,257.0,262.0,False,HARD,1.0,True,AlphaTauri,0 days 01:04:15.697000,2020-07-05 13:44:15.920,4,12.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:37:32.523000,KVY,26,0 days 00:01:48.009000,47.0,3.0,0 days 01:36:02.798000,,0 days 00:00:38.143000,0 days 00:00:41.081000,0 days 00:00:28.785000,0 days 01:36:22.618000,0 days 01:37:03.699000,0 days 01:37:32.484000,234.0,188.0,256.0,193.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:35:44.514000,2020-07-05 14:15:44.737,4,12.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:10.326000,KVY,26,0 days 00:01:54.212000,52.0,4.0,0 days 01:44:31.326000,,0 days 00:00:35.530000,0 days 00:00:43.648000,0 days 00:00:35.034000,0 days 01:44:51.605000,0 days 01:45:35.253000,0 days 01:46:10.287000,263.0,120.0,128.0,194.0,False,SOFT,6.0,False,AlphaTauri,0 days 01:44:16.114000,2020-07-05 14:24:16.337,4,11.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:06:00.964000,OCO,31,0 days 00:01:40.493000,22.0,2.0,0 days 01:04:38.880000,,0 days 00:00:35.865000,0 days 00:00:36.517000,0 days 00:00:28.111000,0 days 01:04:56.348000,0 days 01:05:32.865000,0 days 01:06:00.976000,254.0,98.0,258.0,260.0,False,HARD,1.0,True,Renault,0 days 01:04:20.471000,2020-07-05 13:44:20.694,4,13.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:08.656000,OCO,31,0 days 00:01:54.426000,52.0,3.0,0 days 01:44:29.403000,,0 days 00:00:34.632000,0 days 00:00:44.498000,0 days 00:00:35.296000,0 days 01:44:48.874000,0 days 01:45:33.372000,0 days 01:46:08.668000,276.0,111.0,130.0,144.0,False,HARD,31.0,False,Renault,0 days 01:44:14.230000,2020-07-05 14:24:14.453,4,10.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:26.886000,NOR,4,0 days 00:01:50.203000,22.0,2.0,0 days 01:03:57.083000,,0 days 00:00:40.689000,0 days 00:00:40.452000,0 days 00:00:29.062000,0 days 01:04:17.383000,0 days 01:04:57.835000,0 days 01:05:26.897000,154.0,201.0,219.0,172.0,False,HARD,1.0,True,McLaren,0 days 01:03:36.683000,2020-07-05 13:43:36.906,4,6.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:37:11.849000,NOR,4,0 days 00:01:49.362000,47.0,3.0,0 days 01:35:41.192000,,0 days 00:00:39.858000,0 days 00:00:38.881000,0 days 00:00:30.623000,0 days 01:36:02.356000,0 days 01:36:41.237000,0 days 01:37:11.860000,252.0,172.0,174.0,181.0,False,MEDIUM,1.0,True,McLaren,0 days 01:35:22.487000,2020-07-05 14:15:22.710,4,7.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:04.505000,NOR,4,0 days 00:01:56.164000,52.0,4.0,0 days 01:44:22.272000,,0 days 00:00:34.857000,0 days 00:00:44.817000,0 days 00:00:36.490000,0 days 01:44:43.209000,0 days 01:45:28.026000,0 days 01:46:04.516000,240.0,199.0,115.0,136.0,False,MEDIUM,6.0,False,McLaren,0 days 01:44:08.341000,2020-07-05 14:24:08.564,4,6.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:05:14.909000,HAM,44,0 days 00:01:56.918000,22.0,2.0,0 days 01:03:36.459000,,0 days 00:00:37.061000,0 days 00:00:44.199000,0 days 00:00:35.658000,0 days 01:03:55.020000,0 days 01:04:39.219000,0 days 01:05:14.877000,203.0,170.0,174.0,230.0,False,HARD,1.0,True,Mercedes,0 days 01:03:17.991000,2020-07-05 13:43:18.214,4,4.0,False,,False,False,2020,1,Austrian Grand Prix
0 days 01:46:01.306000,HAM,44,0 days 00:01:57.246000,52.0,3.0,0 days 01:44:17.037000,,0 days 00:00:34.608000,0 days 00:00:46.461000,0 days 00:00:36.177000,0 days 01:44:38.636000,0 days 01:45:25.097000,0 days 01:46:01.274000,213.0,112.0,136.0,141.0,False,HARD,31.0,False,Mercedes,0 days 01:44:04.060000,2020-07-05 14:24:04.283,4,3.0,False,,False,False,2020,1,Austrian Grand Prix
